Altium Designer Pick and Place Locations
E:\Work\Thiet_ke_he_thong_nhung\GitHub\Embedded-Systems-Design\PCB-Design\BTL\Project Outputs for Free Documents\Pick Place\Pick Place for BTL-PCB.csv

========================================================================================================================
File Design Information:

Date:       15/11/24
Time:       11:22
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C21","220uF","TopLayer","tu_hoa_5mm","78.1050","95.6310","0","C?m"
"J2","MTSW-105-24-G-S-255","TopLayer","SAMTEC_MTSW-105-24-G-S-255","95.7580","57.4040","90",""
"P1","SWD","TopLayer","header4p_90","93.4720","37.4650","270",""
"U4","DS3231","TopLayer","DS3231","82.5500","90.5510","180",""
"Q1","LM7805","TopLayer","TO254P1054X470X2600-3","9.2710","27.9400","0","IC Regulator 7805T/LM7805T COMSET RoHS TO220"
"C20","104","TopLayer","tu_gom","22.6060","5.4610","0","C?m"
"C18","104","TopLayer","tu_gom","30.0990","12.7000","90","C?m"
"C19","1000uF","TopLayer","tu_hoa_8mm","12.1920","6.8580","0","C?m"
"C17","1000uF","TopLayer","tu_hoa_8mm","21.9710","12.4460","0","C?m"
"Y1","8Mhz","TopLayer","Thach_Anh_2_chan_SMD","57.4040","28.3210","0","Crystal For all Crystal 2pin."
"U6","ESP8266 12F","TopLayer","ESP826612F","82.9945","55.8800","0",""
"U5","LCD","TopLayer","LCD","63.2460","90.4240","0",""
"U3","RT9193-33GB","BottomLayer","SOT23-5","66.6749","81.9151","0","Linear Voltage Regulator IC 1 Output 300mA SOT-23-5"
"U2","USB Micro","TopLayer","USB_Micro_5p_SMD","93.0041","24.3710","270","USB Type B"
"U1","STM32F103C8T6","TopLayer","LQFP-48_19.6_393_58X11_SMD","57.6580","51.4350","0","ARM® Cortex®-M3 STM32F1 Microcontroller IC 32-Bit 72MHz 64KB (64K x 8) FLASH 48-LQFP (7x7)"
"S5","PM2.5 SENSOR","TopLayer","pm25sensor","45.5930","90.2970","0",""
"S4","CO2 Sensor","TopLayer","co2sensor","57.9755","13.8430","90",""
"S3","DHT22","TopLayer","dht22","25.5905","20.8280","0",""
"S2","MQ135","TopLayer","mq135","27.4320","64.8970","0",""
"S1","MQ7","TopLayer","mq7","26.4160","86.1060","0",""
"RESET","Nut Nhan 2 Chan SMD 3x6x2.5","TopLayer","Nut_Nhan_2_Chan_SMD_3x6x2.5","79.3750","10.9220","90","Nut Nhan 2 Chan SMD 3x6x2.5"
"R24","10K","BottomLayer","tro_smd_0603","88.1380","57.7850","90","Dán"
"R23","10K","BottomLayer","tro_smd_0603","81.0260","62.8650","180","Dán"
"R22","20K","BottomLayer","tro_smd_0603","40.2590","55.3720","180","Dán"
"R21","10K","BottomLayer","tro_smd_0603","40.2590","52.3240","0","Dán"
"R20","20K","BottomLayer","tro_smd_0603","37.3380","79.5020","180","Dán"
"R19","10K","BottomLayer","tro_smd_0603","37.3380","93.4720","180","Dán"
"R18","100R","BottomLayer","tro_smd_0603","76.0730","53.7210","0","Dán"
"R17","10K","BottomLayer","tro_smd_0603","80.0100","52.0700","90","Dán"
"R16","1K","BottomLayer","tro_smd_0603","87.3760","20.5740","0","Dán"
"R15","150R","BottomLayer","tro_smd_0603","53.5940","90.2970","0","Dán"
"R14","4.7K","BottomLayer","tro_smd_0603","26.4160","26.4160","180","Dán"
"R13","1K","BottomLayer","tro_smd_0603","40.2590","61.5950","0","Dán"
"R12","1K","BottomLayer","tro_smd_0603","40.2590","64.8970","180","Dán"
"R11","1K","BottomLayer","tro_smd_0603","37.3380","89.4080","0","Dán"
"R10","1K","BottomLayer","tro_smd_0603","37.3380","85.9790","180","Dán"
"R9","100K","BottomLayer","tro_smd_0603","52.7050","84.3280","90","Dán"
"R8","100k","BottomLayer","tro_smd_0603","52.7050","79.3750","270","Dán"
"R7","10k","BottomLayer","tro_smd_0603","83.0580","14.2240","90","Dán"
"R6","4.7K","BottomLayer","tro_smd_0603","80.3910","25.5270","90","Dán"
"R5","20R","BottomLayer","tro_smd_0603","85.5980","26.2890","0","Dán"
"R4","20R","BottomLayer","tro_smd_0603","85.7250","23.6220","0","Dán"
"R3","510R","BottomLayer","tro_smd_0603","48.0060","71.2470","180","Dán"
"R2","510R","BottomLayer","tro_smd_0603","67.0560","71.2470","0","Dán"
"R1","1M","BottomLayer","tro_smd_0603","57.4040","32.3850","0","Dán"
"LS1","Coi Chip Speaker","TopLayer","Coi_Chip_Speacker","80.7720","36.5697","0","Còi chip"
"L2","LED 0805","TopLayer","LED-0805-Red","54.4830","71.2470","180","Dán"
"L1","LED 0805","TopLayer","LED-0805-Red","60.3250","71.2470","0","Dán"
"JACK DC","JACK DC 5.5","TopLayer","JACK_DC_5.5","12.4460","15.6210","0","JACK DC 5.5"
"J1","header2x3","TopLayer","header2x3","57.4040","81.9150","0",""
"C16","104","BottomLayer","Cap_0603","35.1714","26.4242","0","Capacitor SMD 0603"
"C15","105","BottomLayer","Cap_0603","82.9392","8.1356","270","Capacitor SMD 0603"
"C14","223","BottomLayer","Cap_0603","66.0476","76.5728","180","Capacitor SMD 0603"
"C13","104","BottomLayer","Cap_0603","62.6028","79.7484","90","Capacitor SMD 0603"
"C12","105","BottomLayer","Cap_0805","62.6144","84.3236","270","Capacitor SMD 0805"
"C11","104","BottomLayer","Cap_0805","71.2436","84.2054","90","Capacitor SMD 0805"
"C10","106","BottomLayer","Cap_0805","71.2436","78.9984","90","Capacitor SMD 0805"
"C9","104","BottomLayer","Cap_0603","93.3526","30.7258","180","Capacitor SMD 0603"
"C6","20p","BottomLayer","Cap_0603","46.3632","30.1066","270","Capacitor SMD 0603"
"C5","20p","BottomLayer","Cap_0603","69.4772","30.1066","270","Capacitor SMD 0603"
"C4","104","BottomLayer","Cap_0603","46.2198","44.4424","90","Capacitor SMD 0603"
"C3","104","BottomLayer","Cap_0603","47.7596","57.1418","180","Capacitor SMD 0603"
"C2","104","BottomLayer","Cap_0603","63.2378","60.6984","90","Capacitor SMD 0603"
"C1","104","BottomLayer","Cap_0603","67.4294","46.1092","0","Capacitor SMD 0603"
"BUTTON","Nut Nhan 4 chan 12x12","TopLayer","12X12_BUTTOM_Blue","91.2185","11.3030","90",""
